REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE
1/1/2015,"1,945",M,BLACK,5500 MANOR RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,132,607","10,083,739"
1/1/2015,"2,318",M,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,104,320","10,039,066"
1/1/2015,"2,318",M,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,104,320","10,039,066"
1/1/2015,"2,011",M,HISPANIC OR LATINO,1901 E ANDERSON LN EB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,133,342","10,093,401"
1/1/2015,"2,054",M,HISPANIC OR LATINO,7400 S IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,WEAPONS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,104,320","10,039,066"
1/1/2015,"2,332",M,BLACK,800 NORWOOD PARK BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,128,054","10,098,052"
1/1/2015,"2,114",M,BLACK,1000 BLOCK TILLERY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,126,738","10,069,424"
1/2/2015,224,M,WHITE,11900 RESEARCH BLVD SVRD NB,YES = 1,CALL FOR SERVICE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,110,889","10,127,639"
1/1/2015,"2,229",M,BLACK,6100 SPRINGDALE RD,NO = 2,,,,"3,136,645","10,084,462"
1/1/2015,"2,333",M,HISPANIC OR LATINO,5000 MUELLER BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,126,296","10,084,253"
1/1/2015,"2,238",M,BLACK,5500 BLOCK PINE PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,112,171","10,044,414"
1/1/2015,"2,300",M,BLACK,8500 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,125,257","10,102,147"
1/2/2015,33,M,ASIAN,100 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,114,274","10,070,789"
1/2/2015,411,M,HISPANIC OR LATINO,2300 E MARTIN LUTHER KING JR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,292","10,075,471"
1/2/2015,37,M,BLACK,600 E RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,130,375","10,104,307"
1/2/2015,100,M,WHITE,1000 S 1ST ST,NO = 2,,,,"3,111,193","10,065,576"
1/2/2015,127,M,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,106,636","10,043,730"
1/2/2015,127,F,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,106,636","10,043,730"
1/2/2015,212,M,BLACK,10313 LAKE CREEK PKWY,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,096,175","10,140,350"
