REP_DATE,REP_TIME,APD_sector,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Found,X_COORDINATE,Y_COORDINATE
1/26/2019,1406,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,CASH,3107731,10054028
1/19/2019,216,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,NOTHING,3109582,10095642
2/25/2019,2318,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,CASH,3106887,10043959
1/3/2019,1950,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3117176,10070453
2/27/2019,1150,HE,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,DRUGS,3129751,10060408
3/3/2019,2254,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,F,WHITE,YES = 1,OTHER,3110772,10051009
2/14/2019,36,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,NOTHING,3113117,10066831
4/2/2019,2035,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,NOTHING,3132677,10116912
3/20/2019,1119,FR,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3100644,10044577
1/1/2019,444,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,NOTHING,3095831,10014699
3/16/2019,149,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,NOTHING,3115774,10110771
3/29/2019,1241,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,BLACK,NO = 2,,3127264,10112878
1/21/2019,1820,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,NO = 2,,3121840,10081731
1/21/2019,221,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,CASH,3112202,10123810
1/22/2019,2129,HE,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,ALCOHOL,3132676,10041107
3/19/2019,1955,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES = 1,CASH,3131184,10070751
1/19/2019,30,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,NOTHING,3096551,10139144
3/21/2019,2300,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES = 1,NOTHING,3097904,10136156
1/13/2019,252,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES = 1,NOTHING,3105815,10042612
2/18/2019,443,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,BLACK,YES = 1,NOTHING,3100491,10031374
1/15/2019,2141,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES = 1,NOTHING,3116449,10041252
1/17/2019,16,ED,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,YES = 1,NOTHING,3125166,10107947
1/19/2019,1622,ID,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,NO = 2,,3134284,10085710
1/22/2019,2245,DA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,OTHER,3078686,10053334
3/28/2019,1531,ID,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,NO = 2,,3125015,10098110
3/4/2019,336,ED,,Moving Traffic Violation,M,HISPANIC OR LATINO,,,3127871,10105558
1/23/2019,1134,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,CASH,3134479,10076069
1/18/2019,202,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3134581,10120818
